,,,,,,,,,Integrated Y1,Integrated Y2
,,,,,,,,,"Integrate of H x=(-21.8409,-0.0009) Area = 6.25841","Integrate of I x=(-21.8409,-0.0009) Area = -16.0513"
-17.6949,0.002685,-0.002625,0.002482,-0.002491,0.002994,-0.00281,0.005804,-0.1027011996,0.0296593875,-0.57569056192084
-17.6809,0.002672,-0.002609,0.002649,-0.002657,0.003089,-0.002898,0.005987,-0.1058555483,0.0297419245,-0.57715045915614
-17.6669,0.002641,-0.002576,0.002815,-0.002822,0.003179,-0.002982,0.006161,-0.1088457709,0.0298269605,-0.57865336839054
-17.6519,0.002592,-0.002526,0.00297,-0.002978,0.003244,-0.003048,0.006292,-0.1110657548,0.029920358,-0.58030270483329
-17.6379,0.002529,-0.002462,0.003119,-0.003124,0.003301,-0.003097,0.006398,-0.1128472842,0.030009188,-0.58187009610629
-17.6239,0.002452,-0.002385,0.003254,-0.003258,0.003336,-0.00313,0.006466,-0.1139561374,0.030099236,-0.58345772005749
-17.6099,0.002365,-0.002298,0.003376,-0.003379,0.003351,-0.003142,0.006493,-0.1143410807,0.030189949,-0.58505580058419
-17.5949,0.002268,-0.002202,0.003482,-0.003483,0.003347,-0.003141,0.006488,-0.1141557112,0.0302873065,-0.58676952652344
-17.5809,0.002165,-0.0021,0.003571,-0.00357,0.003322,-0.00312,0.006442,-0.1132561578,0.0303778165,-0.58836140960644
-17.5669,0.002056,-0.001993,0.003642,-0.003638,0.003273,-0.003074,0.006347,-0.1114971143,0.0304673395,-0.58993468251114
-17.5529,0.001944,-0.001882,0.003693,-0.003686,0.00321,-0.003017,0.006227,-0.1093019083,0.0305553575,-0.59148027566934
-17.5379,0.001831,-0.001771,0.003725,-0.003714,0.003123,-0.002935,0.006058,-0.1062445982,0.030647495,-0.59309687446809
-17.5239,0.001717,-0.001659,0.003736,-0.003722,0.003024,-0.002843,0.005867,-0.1028127213,0.03073097,-0.59456027570459
-17.5099,0.001604,-0.001549,0.003727,-0.003709,0.002904,-0.002731,0.005635,-0.0986682865,0.030811484,-0.59597064275919
-17.4959,0.001493,-0.001441,0.003699,-0.003676,0.002774,-0.002612,0.005386,-0.0942329174,0.030888631,-0.59732095118649
-17.4809,0.001386,-0.001335,0.003651,-0.003624,0.002636,-0.002479,0.005115,-0.0894148035,0.0309673885,-0.59869830909324
-17.4669,0.001281,-0.001234,0.003585,-0.003554,0.002487,-0.002342,0.004829,-0.0843476601,0.0310369965,-0.59991464633844
-17.4529,0.001181,-0.001135,0.003502,-0.003466,0.002337,-0.002198,0.004535,-0.0791489015,0.0311025445,-0.60105912226964
-17.4389,0.001084,-0.001043,0.003403,-0.003364,0.002182,-0.002057,0.004239,-0.0739234971,0.0311639625,-0.60213062905984
-17.4239,9.946E-4,-9.537E-4,0.003291,-0.003249,0.002033,-0.001914,0.003947,-0.0687721333,0.0312253575,-0.60320084628784
-17.4099,9.095E-4,-8.728E-4,0.003168,-0.003124,0.001886,-0.001777,0.003663,-0.0637724637,0.0312786275,-0.60412865846684
-17.3959,8.31E-4,-8.064E-4,0.003038,-0.002994,0.001745,-0.001649,0.003394,-0.0590416846,0.0313280265,-0.60498835750494
-17.3819,7.703E-4,-7.331E-4,0.002905,-0.002856,0.001619,-0.001525,0.003144,-0.0546486936,0.0313737925,-0.60578419015234
-17.3669,6.906E-4,-6.682E-4,0.002762,-0.002718,0.001492,-0.001411,0.002903,-0.0504161107,0.031419145,-0.60657217618459
-17.3529,6.356E-4,-6.074E-4,0.002626,-0.002578,0.001384,-0.001307,0.002691,-0.0466966539,0.031458303,-0.60725196553679
-17.3389,5.78E-4,-5.536E-4,0.00249,-0.002449,0.001284,-0.001215,0.002499,-0.0433299111,0.031494633,-0.60788215149179
-17.3249,5.278E-4,-5.018E-4,0.002365,-0.002322,0.001199,-0.001134,0.002333,-0.0404189917,0.031528457,-0.60846839381139
-17.3099,4.79E-4,-4.637E-4,0.002245,-0.002211,0.001124,-0.001069,0.002193,-0.0379606107,0.031562402,-0.60905624082939
-17.2959,4.45E-4,-4.248E-4,0.002143,-0.002108,0.001068,-0.001014,0.002082,-0.0360100638,0.031592327,-0.60957403555089
-17.2819,4.092E-4,-3.945E-4,0.00205,-0.002022,0.001022,-9.743E-4,0.0019963,-0.03449985697,0.0316208751,-0.61006760499628
-17.2679,3.825E-4,-3.72E-4,0.001976,-0.001957,9.922E-4,-9.508E-4,0.001943,-0.0335515297,0.0316484502,-0.61054396470297
-17.2529,3.639E-4,-3.504E-4,0.001925,-0.001905,9.801E-4,-9.372E-4,0.0019173,-0.03307898517,0.03167740245,-0.611043693564495
-17.2389,3.456E-4,-3.373E-4,0.001885,-0.001879,9.779E-4,-9.419E-4,0.0019198,-0.03309524022,0.03170426215,-0.611506913142225
-17.2249,3.361E-4,-3.27E-4,0.001874,-0.001866,9.958E-4,-9.575E-4,0.0019533,-0.03364539717,0.03173137385,-0.611974097603955
